line_name,appropriation_code,appropriated_amount,original_description,line_type,explicit_project_address,source_url,source_version
132-10. Highwood Library,141-42091-4900-1121,968952.00,"SECTION 10. THE SUM OF $968,952, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM AN APPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 139, SECTION 10 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE CAPITAL DEVELOPMENT FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO THE HIGHWOOD LIBRARY FOR COSTS ASSOCIATED WITH INFRASTRUCTURE IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
166-355. LAKE COUNTY FOREST PRESERVE DISTRICT,141-42091-4900-1222,1070000.00,"Section 355. The sum of $1,100,000 $1,070,000, or so much thereof as may be necessary and remains unexpended at the close of business on June 30, 2025, from a reappropriation heretofore made for such purpose in Article 174, Section 355 of Public Act 103-0589, as amended, is reappropriated from the Capital Development Fund to the Department of Commerce and Economic Opportunity for a grant to the Lake County Forest Preserve District for capital improvements to the Adlai E. Stevenson Historic Home.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
131-5. South Suburban College,141-42091-4900-1322,12233120.00,"SECTION 5. THE SUM OF $12,233,120, OR SO MUCH THEREOF AS MAY BE NECESSARY AND REMAINS UNEXPENDED AT THE CLOSE OF BUSINESS ON JUNE 30, 2025, FROM AN APPROPRIATION HERETOFORE MADE FOR SUCH PURPOSE IN ARTICLE 138, SECTION 5 OF PUBLIC ACT 103-0589, AS AMENDED, IS REAPPROPRIATED FROM THE CAPITAL DEVELOPMENT FUND TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FOR A GRANT TO SOUTH SUBURBAN COLLEGE FOR COSTS ASSOCIATED WITH THE PLANNING, ACQUISITION, AND CONSTRUCTION OF AN ALLIED HEALTH CENTER, AND OTHER CAPITAL IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
166-660. University Center of Lake County,141-42091-4900-1400,1083650.00,"SECTION 660. THE SUM OF $1,083,650, OR SO MUCH THEREOF AS MAY BE NECESSARY, IS APPROPRIATED TO THE DEPARTMENT OF COMMERCE AND ECONOMIC OPPORTUNITY FROM THE CAPITAL DEVELOPMENT FUND TO PROVIDE GRANTS TO UNIVERSITY CENTER OF LAKE COUNTY FOR COSTS ASSOCIATED WITH CAPITAL IMPROVEMENTS.",line_item,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
133-5. SCURE - Broadband,324-42035-4900-0022,4559950.21,"Section 5. The sum of $234,064,015 $192,831,808, or so much thereof as may be necessary and remains unexpended at the close of business on June 30, 2025, from an appropriation heretofore made for such purpose in Article 140, Section 5 of Public Act 103-0589, as amended, is reappropriated from the State Coronavirus Urgent Remediation Emergency Fund to the Department of Commerce and Economic Opportunity for grants, loans and contracts including but not limited to broadband deployment to expand and strengthen existing broadband network infrastructure, health information technology, telemedicine, distance learning, and public safety, including prior incurred costs.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
Broadband Program Administration,324-42035-4900-0022,8341700.03,FOR ORDINARY AND CONTINGENT EXPENSES ASSOCIATED WITH THE ADMINISTRATION OF THE BROADBAND PROGRAM,lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
CIRBN LLC,324-42035-4900-0022,4742909.82,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER TO THE PREMISE (FTTP) BROADBAND TO RESIDENTS IN PART OF LIVINGSTON COUNTY. THE PROJECT WILL DEPLOY A HIGH-SPEED INTERNET SERVICE OVER FTTP INFRASTRUCTURE. FTTP WILL OFFER SEVERAL DIFFERENT SPEED TIERS, WITH THE TOP TIER BEING 1,000 MBPS DOWNLOAD AND 1,000 MBPS UPLOAD (1 GBPS INTERNET) WITH UNLIMITED DATA (OR GREATER) TO ALL SUBSCRIBERS WITHIN A SERVICE AREA. THE FTTP TECHNOLOGY UTILIZES A 10-GIGABIT SYMMETRICAL PASSIVE OPTICAL",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
CROSSVILLE TELEPHONE CO IN,324-42035-4900-0022,4350984.65,THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER TO THE PREMISE (FTTP) BROADBAND TO RESIDENTS IN WHITE COUNTY. THE PROJECT WILL DEPLOY BROADBAND TO UNDERSERVED AND UNSERVED LOCATIONS WITHIN THE RURAL AREAS CROSSVILLE AND THE CITIES OF GARNERVILLE AND PHILLIPSTOWN. THE PROJECT WILL PROVIDE ACCESS TO BROADBAND WITH SPEEDS UP TO 100/100 MBPS.,lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
DIVERSE COMMUNICATIONS INC,324-42035-4900-0022,6631795.75,THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER-TO-THE- PREMISES (FTTP) TECHNOLOGY TO THE NETWORK WITHIN HENRY COUNTY.,lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
FRONTIER NORTH INC,324-42035-4900-0022,3979608.96,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER TO THE HOME (FTTH) BROADBAND TO RESIDENTS IN PART OF GREENE COUNTY, ILLINOIS. THIS PROJECT WILL BUILD A SYSTEM TO INSTALL A FIBER COMMUNICATIONS SYSTEM AND THE SUPPORTING INFRASTRUCTURE CAPABLE OF DELIVERING SPEEDS UP TO 5 GIGABIT TO RURAL, UNSERVED AND UNDERSERVED LOCATIONS IN THE COUNTY AT VERY AFFORDABLE RATES. THE GRANTEE WILL DEPLOY LAST MILE FTTH FACILITIES UTILIZING XGS-PON TECHNOLOGY IN THE PROJECT AREA.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
FRONTIER NORTH INC,324-42035-4900-0022,3726507.15,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER TO THE HOME (FTTH) BROADBAND TO RESIDENTS IN PART OF GREENE COUNTY, ILLINOIS. THIS PROJECT WILL BUILD A SYSTEM TO INSTALL A FIBER COMMUNICATIONS SYSTEM AND THE SUPPORTING INFRASTRUCTURE CAPABLE OF DELIVERING SPEEDS UP TO 5 GIGABIT TO RURAL, UNSERVED AND UNDERSERVED LOCATIONS IN THE COUNTY AT VERY AFFORDABLE RATES. THE GRANTEE WILL DEPLOY LAST MILE FTTH FACILITIES UTILIZING XGS-PON TECHNOLOGY IN THE PROJECT AREA.",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
GARGOYLE TECHNOLOGIES INC,324-42035-4900-0022,5319554.25,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER TO THE HOME (FTTH) BROADBAND TO RESIDENTS IN PART OF CHAMPAIGN COUNTY, ILLINOIS. THIS PROJECT WILL DEPLOY A 124-MILE BACKBONE OF RURAL FIBER OPTIC COVERAGE THAT WILL DIRECTLY SERVE 350 PREMISES AND PROVIDE CRITICAL CORE INFRASTRUCTURE FOR A FUTURE PHASE OF DEPLOYMENT THAT WILL SERVE AN ADDITIONAL 1,736 CURRENT PREMISES AND PASS OVER 6,000 ADDITIONAL UNSERVED OR UNDERSERVED PARCELS. THE GRANTEE WILL DEPLOY",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
GRAFTON TECHNOLOGIES INC,324-42035-4900-0022,5366576.79,THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF COSTS ASSOCIATED WITH BRINGING FIBER-TO-THE-PREMISES (FTTP) TECHNOLOGY TO THE NETWORK WITHIN JERSEY COUNTY.,lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
JO-CARROLL ENERGY INC,324-42035-4900-0022,3773580.49,THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER TO THE PREMISE (FTTP) BROADBAND TO RESIDENTS IN PART OF WHITESIDE COUNTY. THE PROJECT WILL UTILIZE A 10-GIGABIT SYMMETRICAL PASSIVE OPTICAL NETWORK (XGS-PON) AS ITS FTTP TECHNOLOGY WITH A DEDICATED FIBER ARCHITECTURE.,lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
JO-CARROLL ENERGY INC,324-42035-4900-0022,4644735.38,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER TO THE PREMISE (FTTP) BROADBAND TO RESIDENTS IN PART OF WHITESIDE COUNTY. THE PROJECT WILL UTILIZE A 10-GIGABIT SYMMETRICAL PASSIVE OPTICAL NETWORK (XGS-PON) AS ITS FTTP TECHNOLOGY WITH A DEDICATED FIBER ARCHITECTURE. THE PROJECT WILL PROVIDE BROADBAND DATA SPEEDS AT A VARIETY OF ADVERTISED DATA RATES, WITH THE CAPABILITY OF ATTAINING SPEEDS UP TO 2000 MBPS/2000 MBPS (UPSTREAM AND DOWNSTREAM) TO UNSERVED",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
JO-CARROLL ENERGY INC,324-42035-4900-0022,5231460.16,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER TO THE PREMISE (FTTP) BROADBAND TO RESIDENTS IN PART OF WHITESIDE COUNTY. THE PROJECT WILL UTILIZE A 10-GIGABIT SYMMETRICAL PASSIVE OPTICAL NETWORK (XGS-PON) AS ITS FTTP TECHNOLOGY WITH A DEDICATED FIBER ARCHITECTURE. THE PROJECT WILL PROVIDE BROADBAND DATA SPEEDS AT A VARIETY OF ADVERTISED DATA RATES, WITH THE CAPABILITY OF ATTAINING SPEEDS UP TO 2000 MBPS/2000 MBPS (UPSTREAM AND DOWNSTREAM) TO UNSERVED",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
JO-CARROLL ENERGY INC,324-42035-4900-0022,1982380.76,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER TO THE PREMISE (FTTP) BROADBAND TO RESIDENTS IN PART OF WHITESIDE COUNTY. THE PROJECT WILL UTILIZE A 10-GIGABIT SYMMETRICAL PASSIVE OPTICAL NETWORK (XGS-PON) AS ITS FTTP TECHNOLOGY WITH A DEDICATED FIBER ARCHITECTURE. THE PROJECT WILL PROVIDE BROADBAND DATA SPEEDS AT A VARIETY OF ADVERTISED DATA RATES, WITH THE CAPABILITY OF ATTAINING SPEEDS UP TO 2000 MBPS/2000 MBPS (UPSTREAM AND DOWNSTREAM) TO UNSERVED",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
JO-CARROLL ENERGY INC,324-42035-4900-0022,4424013.64,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER TO THE PREMISE (FTTP) BROADBAND TO RESIDENTS IN PART OF WHITESIDE AND CARROLL COUNTIES. THE PROJECT WILL UTILIZE A 10-GIGABIT SYMMETRICAL PASSIVE OPTICAL NETWORK (XGS-PON) AS ITS FTTP TECHNOLOGY WITH A DEDICATED FIBER ARCHITECTURE. THE PROJECT WILL PROVIDE BROADBAND DATA SPEEDS AT A VARIETY OF ADVERTISED DATA RATES, WITH THE CAPABILITY OF ATTAINING SPEEDS UP TO 2000 MBPS/2000 MBPS (UPSTREAM AND DOWNSTREAM) TO UNSERVED",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
JO-CARROLL ENERGY INC,324-42035-4900-0022,4783927.97,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER TO THE PREMISE (FTTP) BROADBAND TO RESIDENTS IN PART OF CARROLL COUNTY. THE PROJECT WILL UTILIZE A 10-GIGABIT SYMMETRICAL PASSIVE OPTICAL NETWORK (XGS-PON) AS ITS FTTP TECHNOLOGY WITH A DEDICATED FIBER ARCHITECTURE. THE PROJECT WILL PROVIDE BROADBAND DATA SPEEDS AT A VARIETY OF ADVERTISED DATA RATES, WITH THE CAPABILITY OF ATTAINING SPEEDS UP TO 2000 MBPS/2000 MBPS (UPSTREAM AND DOWNSTREAM) TO UNSERVED",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
JO-CARROLL ENERGY INC,324-42035-4900-0022,3304973.46,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER TO THE PREMISE (FTTP) BROADBAND TO RESIDENTS IN PART OF WHITESIDE COUNTY. THE PROJECT WILL UTILIZE A 10-GIGABIT SYMMETRICAL PASSIVE OPTICAL NETWORK (XGS-PON) AS ITS FTTP TECHNOLOGY WITH A DEDICATED FIBER ARCHITECTURE. THE PROJECT WILL PROVIDE BROADBAND DATA SPEEDS AT A VARIETY OF ADVERTISED DATA RATES, WITH THE CAPABILITY OF ATTAINING SPEEDS UP TO 2000 MBPS/2000 MBPS (UPSTREAM AND DOWNSTREAM) TO UNSERVED",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
JO-CARROLL ENERGY INC,324-42035-4900-0022,4853267.03,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER TO THE PREMISE (FTTP) BROADBAND TO RESIDENTS IN PART OF JO DAVIESS COUNTY. THE PROJECT WILL UTILIZE A 10-GIGABIT SYMMETRICAL PASSIVE OPTICAL NETWORK (XGS-PON) AS ITS FTTP TECHNOLOGY WITH A DEDICATED FIBER ARCHITECTURE. THE PROJECT WILL PROVIDE BROADBAND DATA SPEEDS AT A VARIETY OF ADVERTISED DATA RATES, WITH THE CAPABILITY OF ATTAINING SPEEDS UP TO 2000 MBPS/2000 MBPS (UPSTREAM AND DOWNSTREAM) TO UNSERVED",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
JO-CARROLL ENERGY INC,324-42035-4900-0022,5190175.03,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER TO THE PREMISE (FTTP) BROADBAND TO RESIDENTS IN PART OF JO DAVIESS AND CARROLL COUNTIES. THE PROJECT WILL UTILIZE A 10-GIGABIT SYMMETRICAL PASSIVE OPTICAL NETWORK (XGS-PON) AS ITS FTTP TECHNOLOGY WITH A DEDICATED FIBER ARCHITECTURE. THE PROJECT WILL PROVIDE BROADBAND DATA SPEEDS AT A VARIETY OF ADVERTISED DATA RATES, WITH THE CAPABILITY OF ATTAINING SPEEDS UP TO 2000 MBPS/2000 MBPS (UPSTREAM AND DOWNSTREAM) TO UNSERVED",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
JO-CARROLL ENERGY INC,324-42035-4900-0022,5021269.17,"THIS GRANT-FUNDED PROJECT WILL INCLUDE A PORTION OF THE COSTS ASSOCIATED WITH BRINGING FIBER TO THE PREMISE (FTTP) BROADBAND TO RESIDENTS IN PART OF JO DAVIESS, WHITESIDE AND CARROLL COUNTIES. THE PROJECT WILL UTILIZE A 10-GIGABIT SYMMETRICAL PASSIVE OPTICAL NETWORK (XGS-PON) AS ITS FTTP TECHNOLOGY WITH A DEDICATED FIBER ARCHITECTURE. THE PROJECT WILL PROVIDE BROADBAND DATA SPEEDS AT A VARIETY OF ADVERTISED DATA RATES, WITH THE CAPABILITY OF ATTAINING SPEEDS UP TO 2000 MBPS/2000 MBPS (UPSTREAM AND DOWNSTREAM)",lump_sum,,https://dceo.illinois.gov/content/dam/soi/en/web/dceo/aboutdceo/grantopportunities/documents/dceo-cap-approp-list.pdf,FY26 Capital Appropriation Listings (PDF created 2026-04-10)
